Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Hey Jack Kerouac,"10,000 Maniacs",1987,3.44,4,0.616,0.511,6,-15.894,major(1),0.0279,0.0384,0.0,0.15,0.604,132.015,40,Alternative Rock
Like the Weather,"10,000 Maniacs",1987,3.94,4,0.77,0.459,1,-17.453,major(1),0.0416,0.112,0.00343,0.145,0.963,133.351,43,Alternative Rock
What's the Matter Here?,"10,000 Maniacs",1987,4.85,4,0.593,0.816,9,-7.293,major(1),0.041,0.00449,3.17e-05,0.0896,0.519,99.978,12,Alternative Rock
Trouble Me,"10,000 Maniacs",1989,3.23,4,0.861,0.385,2,-10.057,major(1),0.0341,0.154,0.0,0.123,0.494,117.913,47,Alternative Rock
Candy Everybody Wants,"10,000 Maniacs",1992,3.1,4,0.622,0.876,10,-6.31,major(1),0.0305,0.0193,0.00684,0.0987,0.867,104.97,43,Alternative Rock
More Than This,"10,000 Maniacs",1992,4.09,4,0.623,0.773,6,-8.8,major(1),0.0271,0.0155,0.00573,0.0917,0.807,124.644,46,Alternative Rock
These Are Days,"10,000 Maniacs",1992,3.66,4,0.611,0.833,3,-7.554,major(1),0.0351,0.0218,0.000204,0.0923,0.793,108.498,52,Alternative Rock
Verdi Cries,"10,000 Maniacs",1992,4.34,4,0.367,0.0256,3,-25.309,major(1),0.0421,0.917,7.39e-05,0.0843,0.178,106.872,34,Alternative Rock
Because the Night - Live Unplugged,"10,000 Maniacs",1993,3.72,4,0.408,0.79,11,-8.138,minor(0),0.103,0.26,0.00027,0.765,0.347,122.624,56,Alternative Rock
Be Like That,3 Doors Down,2000,4.43,4,0.487,0.702,7,-6.043,major(1),0.0238,0.00528,4.97e-06,0.129,0.306,95.982,61,Alternative Rock
Duck And Run,3 Doors Down,2000,3.84,4,0.524,0.919,4,-5.505,minor(0),0.0436,0.0149,7.05e-05,0.131,0.848,87.931,48,Alternative Rock
Kryptonite,3 Doors Down,2000,3.9,4,0.545,0.865,11,-5.708,minor(0),0.0286,0.00664,1.1e-05,0.168,0.543,99.005,80,Alternative Rock
Loser,3 Doors Down,2000,4.41,4,0.493,0.88,6,-6.424,minor(0),0.0693,0.0108,2.66e-05,0.226,0.389,147.913,61,Alternative Rock
One Light,3 Doors Down,2000,2.94,4,0.372,0.976,11,-3.67,major(1),0.0625,0.00117,0.00326,0.0597,0.433,170.087,38,Alternative Rock
Here Without You,3 Doors Down,2003,3.98,4,0.557,0.533,10,-6.817,minor(0),0.0252,0.0492,0.0,0.205,0.233,143.994,76,Alternative Rock
When I'm Gone,3 Doors Down,2005,4.34,4,0.53,0.768,7,-5.611,major(1),0.0284,0.00385,0.0,0.103,0.374,148.095,72,Alternative Rock
It's Not My Time,3 Doors Down,2008,4.03,4,0.532,0.935,0,-4.798,major(1),0.0619,0.00133,8.37e-06,0.106,0.309,128.025,63,Alternative Rock
Let Me Go,3 Doors Down,2008,4.05,4,0.48,0.863,1,-4.914,minor(0),0.0385,0.0181,0.0,0.111,0.491,91.972,55,Alternative Rock
Man in the Box,Alice In Chains,1990,4.75,4,0.355,0.791,8,-7.565,major(1),0.0453,0.00045,0.0,0.0969,0.758,106.392,77,Alternative Rock
Angry Chair (2022 Remaster),Alice In Chains,1992,4.8,4,0.329,0.943,8,-5.742,major(1),0.0913,0.0406,0.0,0.0548,0.157,107.422,53,Alternative Rock
Down In A Hole (2022 Remaster),Alice In Chains,1992,5.64,4,0.356,0.818,6,-5.343,major(1),0.0335,0.0122,0.000118,0.123,0.389,97.528,66,Alternative Rock
Rooster (2022 Remaster),Alice In Chains,1992,6.24,3,0.263,0.562,3,-7.858,major(1),0.0273,0.0289,0.00118,0.12,0.213,146.08,72,Alternative Rock
Them Bones (2022 Remaster),Alice In Chains,1992,2.49,1,0.16,0.954,9,-5.179,major(1),0.0685,0.023,4.01e-06,0.372,0.336,165.223,70,Alternative Rock
Would? (2022 Remaster),Alice In Chains,1992,3.45,4,0.297,0.842,6,-7.457,major(1),0.0488,0.000286,9.1e-06,0.0848,0.586,100.127,75,Alternative Rock
I Stay Away,Alice In Chains,1994,4.24,4,0.174,0.781,6,-7.066,major(1),0.0406,0.0452,0.00346,0.0822,0.276,81.37,62,Alternative Rock
No Excuses,Alice In Chains,1994,4.26,4,0.527,0.838,3,-6.013,major(1),0.0323,0.0206,0.00062,0.07,0.721,117.454,64,Alternative Rock
Nutshell,Alice In Chains,1994,4.32,3,0.384,0.561,3,-10.059,minor(0),0.0296,0.373,0.253,0.0775,0.159,136.136,72,Alternative Rock
Heaven Beside You,Alice In Chains,1996,5.46,4,0.551,0.724,10,-7.09,minor(0),0.032,0.00451,0.000167,0.116,0.559,111.243,61,Alternative Rock
Brass Monkey,Beastie Boys,1986,2.62,4,0.914,0.586,6,-8.435,minor(0),0.33,0.00203,1.58e-06,0.0992,0.655,116.371,66,Alternative Rock
Fight For Your Right,Beastie Boys,1986,3.48,5,0.503,0.858,8,-6.296,major(1),0.0657,0.00757,0.00234,0.0803,0.419,133.615,69,Alternative Rock
No Sleep Till Brooklyn,Beastie Boys,1986,4.12,4,0.712,0.691,8,-8.157,major(1),0.128,0.122,0.0,0.0538,0.742,97.022,70,Alternative Rock
